0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,price
1.029099659371194,1.394055427040185,1.539173229085006,1.4209293866851447,1.5389719687210002,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,13300000
1.728532377928592,1.394055427040185,5.733420278341647,2.587643534697806,2.709987288725112,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,12250000
2.1827094679009282,0.055270920014809204,1.539173229085006,0.2542152386724836,1.5389719687210002,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,12250000
1.0654338265689811,1.394055427040185,1.539173229085006,0.2542152386724836,2.709987288725112,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,12215000
1.029099659371194,1.394055427040185,-0.5579502955433145,0.2542152386724836,1.5389719687210002,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,11410000
1.0654338265689811,0.055270920014809204,3.6362967537133266,-0.9124989093401775,1.5389719687210002,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,10850000
1.5559450837391042,1.394055427040185,3.6362967537133266,2.587643534697806,1.5389719687210002,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,10150000
5.0167745093283065,2.7328399340655607,3.6362967537133266,0.2542152386724836,-0.8030586712872236,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10150000
1.337940080552383,1.394055427040185,-0.5579502955433145,0.2542152386724836,1.5389719687210002,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,9870000
0.27062391911739264,0.055270920014809204,1.539173229085006,2.587643534697806,0.3679566487168883,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,9800000
3.6542432394112976,0.055270920014809204,-0.5579502955433145,0.2542152386724836,1.5389719687210002,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,9800000
0.3841681916104767,1.394055427040185,3.6362967537133266,0.2542152386724836,1.5389719687210002,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,9681000
0.6339655910952616,1.394055427040185,1.539173229085006,0.2542152386724836,0.3679566487168883,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,9310000
